Date : 2025-03-02 12:22:41
Directory : /Users/gero/dev/Nexa
Total : 318 files,  82343 codes, 3364 comments, 5323 blanks, all 91030 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| CSV                |         13 |     25,533 |          0 |          8 |     25,541 |
| JSON               |         12 |     20,482 |          0 |         10 |     20,492 |
| SQLite             |          2 |     14,208 |      2,609 |      2,739 |     19,556 |
| TypeScript JSX     |        156 |     10,168 |        297 |      1,013 |     11,478 |
| TypeScript         |         98 |      9,338 |        118 |        985 |     10,441 |
| JavaScript         |         11 |        934 |        328 |         83 |      1,345 |
| Markdown           |         15 |        909 |          0 |        377 |      1,286 |
| Python             |          2 |        328 |          5 |         31 |        364 |
| Home Assistant     |          5 |        214 |          4 |         38 |        256 |
| CSS                |          1 |        137 |          1 |         34 |        172 |
| JSON with Comments |          3 |         92 |          2 |          5 |         99 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        318 |     82,343 |      3,364 |      5,323 |     91,030 |
| backup                                                                                                                            |          2 |     14,462 |      2,604 |      2,739 |     19,805 |
| nexa                                                                                                                              |        292 |     22,117 |        750 |      2,538 |     25,405 |
| nexa (Files)                                                                                                                      |          1 |        152 |          0 |         68 |        220 |
| nexa/.github                                                                                                                      |          3 |         79 |          3 |         21 |        103 |
| nexa/.github/ISSUE_TEMPLATE                                                                                                       |          2 |         45 |          0 |         15 |         60 |
| nexa/.github/workflows                                                                                                            |          1 |         34 |          3 |          6 |         43 |
| nexa/medusa                                                                                                                       |         59 |      6,790 |        401 |        604 |      7,795 |
| nexa/medusa (Files)                                                                                                               |          8 |        287 |         21 |         39 |        347 |
| nexa/medusa/.yarn                                                                                                                 |          1 |        543 |        300 |         52 |        895 |
| nexa/medusa/.yarn/releases                                                                                                        |          1 |        543 |        300 |         52 |        895 |
| nexa/medusa/integration-tests                                                                                                     |          2 |         37 |          0 |          7 |         44 |
| nexa/medusa/integration-tests/http                                                                                                |          2 |         37 |          0 |          7 |         44 |
| nexa/medusa/src                                                                                                                   |         48 |      5,923 |         80 |        506 |      6,509 |
| nexa/medusa/src/admin                                                                                                             |         17 |      2,140 |         72 |        153 |      2,365 |
| nexa/medusa/src/admin (Files)                                                                                                     |          2 |         42 |          2 |         12 |         56 |
| nexa/medusa/src/admin/components                                                                                                  |          8 |        494 |          0 |         37 |        531 |
| nexa/medusa/src/admin/components (Files)                                                                                          |          2 |         93 |          0 |          8 |        101 |
| nexa/medusa/src/admin/components/Form                                                                                             |          6 |        401 |          0 |         29 |        430 |
| nexa/medusa/src/admin/hooks                                                                                                       |          2 |        152 |          0 |         17 |        169 |
| nexa/medusa/src/admin/routes                                                                                                      |          2 |        826 |          6 |         39 |        871 |
| nexa/medusa/src/admin/routes/fashion                                                                                              |          2 |        826 |          6 |         39 |        871 |
| nexa/medusa/src/admin/routes/fashion (Files)                                                                                      |          1 |        345 |          3 |         16 |        364 |
| nexa/medusa/src/admin/routes/fashion/[id]                                                                                         |          1 |        481 |          3 |         23 |        507 |
| nexa/medusa/src/admin/widgets                                                                                                     |          3 |        626 |         64 |         48 |        738 |
| nexa/medusa/src/api                                                                                                               |         18 |        739 |          2 |        162 |        903 |
| nexa/medusa/src/api (Files)                                                                                                       |          2 |        104 |          0 |         38 |        142 |
| nexa/medusa/src/api/admin                                                                                                         |          9 |        429 |          0 |         94 |        523 |
| nexa/medusa/src/api/admin/custom                                                                                                  |          2 |        162 |          0 |         18 |        180 |
| nexa/medusa/src/api/admin/custom/collections                                                                                      |          1 |        117 |          0 |          9 |        126 |
| nexa/medusa/src/api/admin/custom/collections/[collectionId]                                                                       |          1 |        117 |          0 |          9 |        126 |
| nexa/medusa/src/api/admin/custom/collections/[collectionId]/details                                                               |          1 |        117 |          0 |          9 |        126 |
| nexa/medusa/src/api/admin/custom/product-types                                                                                    |          1 |         45 |          0 |          9 |         54 |
| nexa/medusa/src/api/admin/custom/product-types/[productTypeId]                                                                    |          1 |         45 |          0 |          9 |         54 |
| nexa/medusa/src/api/admin/custom/product-types/[productTypeId]/details                                                            |          1 |         45 |          0 |          9 |         54 |
| nexa/medusa/src/api/admin/fashion                                                                                                 |          6 |        200 |          0 |         64 |        264 |
| nexa/medusa/src/api/admin/fashion (Files)                                                                                         |          1 |         39 |          0 |         12 |         51 |
| nexa/medusa/src/api/admin/fashion/[id]                                                                                            |          5 |        161 |          0 |         52 |        213 |
| nexa/medusa/src/api/admin/fashion/[id] (Files)                                                                                    |          1 |         37 |          0 |         13 |         50 |
| nexa/medusa/src/api/admin/fashion/[id]/colors                                                                                     |          3 |        111 |          0 |         34 |        145 |
| nexa/medusa/src/api/admin/fashion/[id]/colors (Files)                                                                             |          1 |         45 |          0 |         12 |         57 |
| nexa/medusa/src/api/admin/fashion/[id]/colors/[colorId]                                                                           |          2 |         66 |          0 |         22 |         88 |
| nexa/medusa/src/api/admin/fashion/[id]/colors/[colorId] (Files)                                                                   |          1 |         51 |          0 |         16 |         67 |
| nexa/medusa/src/api/admin/fashion/[id]/colors/[colorId]/restore                                                                   |          1 |         15 |          0 |          6 |         21 |
| nexa/medusa/src/api/admin/fashion/[id]/restore                                                                                    |          1 |         13 |          0 |          5 |         18 |
| nexa/medusa/src/api/admin/products                                                                                                |          1 |         67 |          0 |         12 |         79 |
| nexa/medusa/src/api/admin/products/[id]                                                                                           |          1 |         67 |          0 |         12 |         79 |
| nexa/medusa/src/api/admin/products/[id]/fashion                                                                                   |          1 |         67 |          0 |         12 |         79 |
| nexa/medusa/src/api/store                                                                                                         |          7 |        206 |          2 |         30 |        238 |
| nexa/medusa/src/api/store/custom                                                                                                  |          7 |        206 |          2 |         30 |        238 |
