Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Metadata.back_length_cm,Variant Metadata.chest_cm,Variant Metadata.front_length_cm,Variant Metadata.size,Variant Metadata.sleeve_length_cm,"Variant Metadata.sleeve_length_cm",Variant Metadata.waist_cm,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price Europe [EUR],Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JJJ37ZEXST341KJMS57F71ST,astrid-curve,Astrid Curve,published,"The Astrid Curve combines flowing curves and cozy, textured fabric for a truly bohemian vibe. Its relaxed design adds character and comfort, perfect for eclectic living spaces with a free-spirited charm.",,,http://localhost:9090/medusa/astrid-curve-01JJJ37ZDFZWMWXKSDCB0H06MJ.png,pcol_01JJJ37XMN438QA1RVG8KT65C0,ptyp_01JJJ35SGJC14EFNVPY25E8RYX,2025-01-26T20:00:58.329Z,,true,,,http://localhost:9090/medusa/astrid-curve-01JJJ37ZDFZWMWXKSDCB0H06MJ.png,http://localhost:9090/medusa/astrid-curve-2-01JJJ37ZDFZQDRPSRK98BS8MM9.png,false,,,,,sc_01JJJ35PNA96NMNJY5K7YQYCE9,2025-01-26T20:00:58.329Z,,,variant_01JJJ37ZFTQAWZKTWK8QSQZ1P1,Microfiber / Dark Gray,ASTRID-CURVE-MICROFIBER-DARK-GRAY,,,,,false,false,,2025-01-26T20:00:58.362Z,,,,,,,,,,,,,Material,Microfiber,Color,Dark Gray,,1500,,1700,prod_01JJJ37ZEXST341KJMS57F71ST,2025-01-26T20:00:58.362Z,0,,
prod_01JJJ37ZEXST341KJMS57F71ST,astrid-curve,Astrid Curve,published,"The Astrid Curve combines flowing curves and cozy, textured fabric for a truly bohemian vibe. Its relaxed design adds character and comfort, perfect for eclectic living spaces with a free-spirited charm.",,,http://localhost:9090/medusa/astrid-curve-01JJJ37ZDFZWMWXKSDCB0H06MJ.png,pcol_01JJJ37XMN438QA1RVG8KT65C0,ptyp_01JJJ35SGJC14EFNVPY25E8RYX,2025-01-26T20:00:58.329Z,,true,,,http://localhost:9090/medusa/astrid-curve-01JJJ37ZDFZWMWXKSDCB0H06MJ.png,http://localhost:9090/medusa/astrid-curve-2-01JJJ37ZDFZQDRPSRK98BS8MM9.png,false,,,,,sc_01JJJ35PNA96NMNJY5K7YQYCE9,2025-01-26T20:00:58.329Z,,,variant_01JJJ37ZFTG0QA7MFJ7JWEDYZN,Velvet / Purple,ASTRID-CURVE-VELVET-PURPLE,,,,,false,false,,2025-01-26T20:00:58.362Z,,,,,,,,,,,,,Material,Velvet,Color,Purple,,2000,,2200,prod_01JJJ37ZEXST341KJMS57F71ST,2025-01-26T20:00:58.362Z,0,,
prod_01JJJ38193C3DTKCMMPZWKP3AP,belime-estate,Belime Estate,published,"The Belime Estate exudes classic sophistication with its tufted back and rich fabric. Its luxurious look and enduring comfort make it a perfect fit for traditional, elegant interiors.",,,http://localhost:9090/medusa/belime-estate-01JJJ3817JQZ41JD3M187HQB3S.png,pcol_01JJJ37XMNYTRAF8KZVJAV434Y,ptyp_01JJJ35SGJC14EFNVPY25E8RYX,2025-01-26T20:01:00.192Z,,true,,,http://localhost:9090/medusa/belime-estate-01JJJ3817JQZ41JD3M187HQB3S.png,http://localhost:9090/medusa/belime-estate-2-01JJJ3817J424RS38BFSJNNKM3.png,false,,,,,sc_01JJJ35PNA96NMNJY5K7YQYCE9,2025-01-26T20:01:00.192Z,,,variant_01JJJ3819Z5MRDQPQC957CHF53,Linen / Red,BELIME-ESTATE-LINEN-RED,,,,,false,false,,2025-01-26T20:01:00.224Z,,,,,,,,,,,,,Material,Linen,Color,Red,,1500,,1700,prod_01JJJ38193C3DTKCMMPZWKP3AP,2025-01-26T20:01:00.224Z,0,,
prod_01JJJ38193C3DTKCMMPZWKP3AP,belime-estate,Belime Estate,published,"The Belime Estate exudes classic sophistication with its tufted back and rich fabric. Its luxurious look and enduring comfort make it a perfect fit for traditional, elegant interiors.",,,http://localhost:9090/medusa/belime-estate-01JJJ3817JQZ41JD3M187HQB3S.png,pcol_01JJJ37XMNYTRAF8KZVJAV434Y,ptyp_01JJJ35SGJC14EFNVPY25E8RYX,2025-01-26T20:01:00.192Z,,true,,,http://localhost:9090/medusa/belime-estate-01JJJ3817JQZ41JD3M187HQB3S.png,http://localhost:9090/medusa/belime-estate-2-01JJJ3817J424RS38BFSJNNKM3.png,false,,,,,sc_01JJJ35PNA96NMNJY5K7YQYCE9,2025-01-26T20:01:00.192Z,,,variant_01JJJ3819ZJNTHWF89JTFVFDXM,Linen / Blue,BELIME-ESTATE-LINEN-BLUE,,,,,false,false,,2025-01-26T20:01:00.224Z,,,,,,,,,,,,,Material,Linen,Color,Blue,,1500,,1700,prod_01JJJ38193C3DTKCMMPZWKP3AP,2025-01-26T20:01:00.224Z,0,,
prod_01JJJ38193C3DTKCMMPZWKP3AP,belime-estate,Belime Estate,published,"The Belime Estate exudes classic sophistication with its tufted back and rich fabric. Its luxurious look and enduring comfort make it a perfect fit for traditional, elegant interiors.",,,http://localhost:9090/medusa/belime-estate-01JJJ3817JQZ41JD3M187HQB3S.png,pcol_01JJJ37XMNYTRAF8KZVJAV434Y,ptyp_01JJJ35SGJC14EFNVPY25E8RYX,2025-01-26T20:01:00.192Z,,true,,,http://localhost:9090/medusa/belime-estate-01JJJ3817JQZ41JD3M187HQB3S.png,http://localhost:9090/medusa/belime-estate-2-01JJJ3817J424RS38BFSJNNKM3.png,false,,,,,sc_01JJJ35PNA96NMNJY5K7YQYCE9,2025-01-26T20:01:00.192Z,,,variant_01JJJ381A09B6QHWRDWW02MPCX,Boucle / Beige,BELIME-ESTATE-BOUCLE-BEIGE,,,,,false,false,,2025-01-26T20:01:00.224Z,,,,,,,,,,,,,Material,Boucle,Color,Beige,,2000,,2200,prod_01JJJ38193C3DTKCMMPZWKP3AP,2025-01-26T20:01:00.224Z,0,,
prod_01JJJ383AFX3GEATMCJ324VWK0,cypress-retreat,Cypress Retreat,published,"The Cypress Retreat is a nod to traditional design with its elegant lines and durable, high-quality upholstery. A timeless choice, it offers long-lasting comfort and a refined aesthetic for any home.",,,http://localhost:9090/medusa/cypress-retreat-01JJJ38398Q8ASGFHE11EMMGFG.png,pcol_01JJJ37XMNYTRAF8KZVJAV434Y,ptyp_01JJJ35SGJC14EFNVPY25E8RYX,2025-01-26T20:01:02.283Z,,true,,,http://localhost:9090/medusa/cypress-retreat-01JJJ38398Q8ASGFHE11EMMGFG.png,http://localhost:9090/medusa/cypress-retreat-2-01JJJ38398N25DPYEGAWEY305F.png,false,,,,,sc_01JJJ35PNA96NMNJY5K7YQYCE9,2025-01-26T20:01:02.283Z,,,variant_01JJJ383CGW4746J9S2556X9WZ,Leather / Beige,CYPRESS-RETREAT-LEATHER-BEIGE,,,,,false,false,,2025-01-26T20:01:02.352Z,,,,,,,,,,,,,Material,Leather,Color,Beige,,1500,,1700,prod_01JJJ383AFX3GEATMCJ324VWK0,2025-01-26T20:01:02.352Z,0,,
prod_01JJJ383AFX3GEATMCJ324VWK0,cypress-retreat,Cypress Retreat,published,"The Cypress Retreat is a nod to traditional design with its elegant lines and durable, high-quality upholstery. A timeless choice, it offers long-lasting comfort and a refined aesthetic for any home.",,,http://localhost:9090/medusa/cypress-retreat-01JJJ38398Q8ASGFHE11EMMGFG.png,pcol_01JJJ37XMNYTRAF8KZVJAV434Y,ptyp_01JJJ35SGJC14EFNVPY25E8RYX,2025-01-26T20:01:02.283Z,,true,,,http://localhost:9090/medusa/cypress-retreat-01JJJ38398Q8ASGFHE11EMMGFG.png,http://localhost:9090/medusa/cypress-retreat-2-01JJJ38398N25DPYEGAWEY305F.png,false,,,,,sc_01JJJ35PNA96NMNJY5K7YQYCE9,2025-01-26T20:01:02.283Z,,,variant_01JJJ383CGNDX4518M4GQ9ES6G,Leather / Violet,CYPRESS-RETREAT-LEATHER-VIOLET,,,,,false,false,,2025-01-26T20:01:02.352Z,,,,,,,,,,,,,Material,Leather,Color,Violet,,2000,,2200,prod_01JJJ383AFX3GEATMCJ324VWK0,2025-01-26T20:01:02.352Z,0,,
prod_01JJJ385AN5AQBRT6HF26TPCY7,everly-estate,Everly Estate,published,"The Everly Estate offers a blend of modern elegance and plush luxury, with its sleek lines and soft velvet upholstery. Perfect for upscale interiors, it exudes sophistication and comfort in equal measure.",,,http://localhost:9090/medusa/everly-estate-01JJJ385A5MGQH3GDFDD341WGR.png,pcol_01JJJ37XMMVYZHZWJ92C156F69,ptyp_01JJJ35SGJC14EFNVPY25E8RYX,2025-01-26T20:01:04.340Z,,true,,,http://localhost:9090/medusa/everly-estate-01JJJ385A5MGQH3GDFDD341WGR.png,http://localhost:9090/medusa/everly-estate-2-01JJJ385A521RHFC1XHE4VHMT5.png,false,,,,,sc_01JJJ35PNA96NMNJY5K7YQYCE9,2025-01-26T20:01:04.340Z,,,variant_01JJJ385BBRDMT4ZPNGWMY5RQT,Microfiber / Orange,EVERLY-ESTATE-MICROFIBER-ORANGE,,,,,false,false,,2025-01-26T20:01:04.363Z,,,,,,,,,,,,,Material,Microfiber,Color,Orange,,1500,,1700,prod_01JJJ385AN5AQBRT6HF26TPCY7,2025-01-26T20:01:04.363Z,0,,
prod_01JJJ385AN5AQBRT6HF26TPCY7,everly-estate,Everly Estate,published,"The Everly Estate offers a blend of modern elegance and plush luxury, with its sleek lines and soft velvet upholstery. Perfect for upscale interiors, it exudes sophistication and comfort in equal measure.",,,http://localhost:9090/medusa/everly-estate-01JJJ385A5MGQH3GDFDD341WGR.png,pcol_01JJJ37XMMVYZHZWJ92C156F69,ptyp_01JJJ35SGJC14EFNVPY25E8RYX,2025-01-26T20:01:04.340Z,,true,,,http://localhost:9090/medusa/everly-estate-01JJJ385A5MGQH3GDFDD341WGR.png,http://localhost:9090/medusa/everly-estate-2-01JJJ385A521RHFC1XHE4VHMT5.png,false,,,,,sc_01JJJ35PNA96NMNJY5K7YQYCE9,2025-01-26T20:01:04.340Z,,,variant_01JJJ385BB69GY01KGWZXJAANF,Velvet / Black,EVERLY-ESTATE-VELVET-BLACK,,,,,false,false,,2025-01-26T20:01:04.363Z,,,,,,,,,,,,,Material,Velvet,Color,Black,,2000,,2200,prod_01JJJ385AN5AQBRT6HF26TPCY7,2025-01-26T20:01:04.363Z,0,,
prod_01JJJ398TN3WTWMPHJE6CA2J6J,havenhill-estate,Havenhill Estate,published,"The Havenhill Estate brings a touch of traditional charm with its elegant curves and classic silhouette. Upholstered in durable, luxurious fabric, its a timeless piece that combines comfort and style, fitting seamlessly into any sophisticated home.",,,http://localhost:9090/medusa/havenhill-estate-01JJJ398RXD5Z8TD14CVG45SV5.png,pcol_01JJJ37XMNYTRAF8KZVJAV434Y,ptyp_01JJJ35SGJ89JC61TS9WYBKZ6C,2025-01-26T20:01:40.690Z,,true,,,http://localhost:9090/medusa/havenhill-estate-01JJJ398RXD5Z8TD14CVG45SV5.png,http://localhost:9090/medusa/havenhill-estate-2-01JJJ398RYKC1SGKR2KVTKHNEE.png,false,,,,,sc_01JJJ35PNA96NMNJY5K7YQYCE9,2025-01-26T20:01:40.690Z,,,variant_01JJJ398VVY7EJRS3K56FW717N,Linen / Green,HAVENHILL-ESTATE-LINEN-GREEN,,,,,false,false,,2025-01-26T20:01:40.731Z,,,,,,,,,,,,,Material,Linen,Color,Green,,1000,,1200,prod_01JJJ398TN3WTWMPHJE6CA2J6J,2025-01-26T20:01:40.731Z,0,,
