Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Price EUR;Price USD;Option 1 Name;Option 1 Value;Option 2 Name;Option 2 Value;Image 1 Url;Image 2 Url;Variant Metadata;Variant Metadata.size;Variant Metadata.chest_cm;Variant Metadata.waist_cm;Variant Metadata.front_length_cm;Variant Metadata.back_length_cm;Variant Metadata.sleeve_length_cm
prod_14027;hemd-rom-72-cm-armlange-umschlagmanschette;Hemd Rom - 72 cm Armlänge - Umschlagmanschette;;"<p>Unser Hemd Rom – ein klassisches fein hellblau-weiß gestreiftes Bürohemd, das natürlich auch perfekt abends angezogen werden kann. Aus einem tollem Oxford Stoff, aus 100% Baumwolle.  Besonders elegant durch eine Umschlagmanschette.</p>
\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>
\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";published;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg;;;;;;;;;;;Tops;;true;;;;art_4260581270803;41;4260581270803;4260581270803;100;false;false;;;;;;;;;75;;Fit;Modern Fit;Size;41;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg; https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-cm-Überlaenge-RIESENHEMD-Rom-2.jpg;"{""size"": 41, ""chest_cm"": 122, ""waist_cm"": 118, ""front_length_cm"": 85, ""back_length_cm"": 95, ""sleeve_length_cm"": 72}";41;122;118;85;95;72
prod_14027;hemd-rom-72-cm-armlange-umschlagmanschette;Hemd Rom - 72 cm Armlänge - Umschlagmanschette;;"<p>Unser Hemd Rom – ein klassisches fein hellblau-weiß gestreiftes Bürohemd, das natürlich auch perfekt abends angezogen werden kann. Aus einem tollem Oxford Stoff, aus 100% Baumwolle.  Besonders elegant durch eine Umschlagmanschette.</p>
\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>
\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";published;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg;;;;;;;;;;;Tops;;true;;;;art_4260581270810;42;4260581270810;4260581270810;100;false;false;;;;;;;;;75;;Fit;Modern Fit;Size;42;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg; https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-cm-Überlaenge-RIESENHEMD-Rom-2.jpg;"{""size"": 42, ""chest_cm"": 125, ""waist_cm"": 121, ""front_length_cm"": 85, ""back_length_cm"": 95, ""sleeve_length_cm"": 72}";42;125;121;85;95;72
prod_14027;hemd-rom-72-cm-armlange-umschlagmanschette;Hemd Rom - 72 cm Armlänge - Umschlagmanschette;;"<p>Unser Hemd Rom – ein klassisches fein hellblau-weiß gestreiftes Bürohemd, das natürlich auch perfekt abends angezogen werden kann. Aus einem tollem Oxford Stoff, aus 100% Baumwolle.  Besonders elegant durch eine Umschlagmanschette.</p>
\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>
\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";published;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg;;;;;;;;;;;Tops;;true;;;;art_4260581270827;43;4260581270827;4260581270827;100;false;false;;;;;;;;;75;;Fit;Modern Fit;Size;43;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg; https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-cm-Überlaenge-RIESENHEMD-Rom-2.jpg;"{""size"": 43, ""chest_cm"": 127, ""waist_cm"": 123, ""front_length_cm"": 86, ""back_length_cm"": 96, ""sleeve_length_cm"": 72}";43;127;123;86;96;72
prod_14027;hemd-rom-72-cm-armlange-umschlagmanschette;Hemd Rom - 72 cm Armlänge - Umschlagmanschette;;"<p>Unser Hemd Rom – ein klassisches fein hellblau-weiß gestreiftes Bürohemd, das natürlich auch perfekt abends angezogen werden kann. Aus einem tollem Oxford Stoff, aus 100% Baumwolle.  Besonders elegant durch eine Umschlagmanschette.</p>
\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>
\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";published;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg;;;;;;;;;;;Tops;;true;;;;art_4260581270834;44;4260581270834;4260581270834;0;false;false;;;;;;;;;75;;Fit;Modern Fit;Size;44;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg; https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-cm-Überlaenge-RIESENHEMD-Rom-2.jpg;"{""size"": 44, ""chest_cm"": 129, ""waist_cm"": 125, ""front_length_cm"": 86, ""back_length_cm"": 96, ""sleeve_length_cm"": 72}";44;129;125;86;96;72
prod_14027;hemd-rom-72-cm-armlange-umschlagmanschette;Hemd Rom - 72 cm Armlänge - Umschlagmanschette;;"<p>Unser Hemd Rom – ein klassisches fein hellblau-weiß gestreiftes Bürohemd, das natürlich auch perfekt abends angezogen werden kann. Aus einem tollem Oxford Stoff, aus 100% Baumwolle.  Besonders elegant durch eine Umschlagmanschette.</p>
\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>
\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";published;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg;;;;;;;;;;;Tops;;true;;;;art_4260581270841;45;4260581270841;4260581270841;100;false;false;;;;;;;;;75;;Fit;Modern Fit;Size;45;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg; https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-cm-Überlaenge-RIESENHEMD-Rom-2.jpg;"{""size"": 45, ""chest_cm"": 131, ""waist_cm"": 127, ""front_length_cm"": 87, ""back_length_cm"": 97, ""sleeve_length_cm"": 72}";45;131;127;87;97;72
prod_14027;hemd-rom-72-cm-armlange-umschlagmanschette;Hemd Rom - 72 cm Armlänge - Umschlagmanschette;;"<p>Unser Hemd Rom – ein klassisches fein hellblau-weiß gestreiftes Bürohemd, das natürlich auch perfekt abends angezogen werden kann. Aus einem tollem Oxford Stoff, aus 100% Baumwolle.  Besonders elegant durch eine Umschlagmanschette.</p>
\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>
\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";published;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg;;;;;;;;;;;Tops;;true;;;;art_4260581270858;46;4260581270858;4260581270858;0;false;false;;;;;;;;;75;;Fit;Modern Fit;Size;46;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg; https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-cm-Überlaenge-RIESENHEMD-Rom-2.jpg;"{""size"": 46, ""chest_cm"": 133, ""waist_cm"": 129, ""front_length_cm"": 87, ""back_length_cm"": 97, ""sleeve_length_cm"": 72}";46;133;129;87;97;72
prod_14027;hemd-rom-72-cm-armlange-umschlagmanschette;Hemd Rom - 72 cm Armlänge - Umschlagmanschette;;"<p>Unser Hemd Rom – ein klassisches fein hellblau-weiß gestreiftes Bürohemd, das natürlich auch perfekt abends angezogen werden kann. Aus einem tollem Oxford Stoff, aus 100% Baumwolle.  Besonders elegant durch eine Umschlagmanschette.</p>
\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>
\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";published;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg;;;;;;;;;;;Tops;;true;;;;art_4260581271602;39;4260581271602;4260581271602;100;false;false;;;;;;;;;75;;Fit;Slim Fit;Size;39;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg; https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-cm-Überlaenge-RIESENHEMD-Rom-2.jpg;"{""size"": 39, ""chest_cm"": 108, ""waist_cm"": 100, ""front_length_cm"": 85, ""back_length_cm"": 95, ""sleeve_length_cm"": 72}";39;108;100;85;95;72
prod_14027;hemd-rom-72-cm-armlange-umschlagmanschette;Hemd Rom - 72 cm Armlänge - Umschlagmanschette;;"<p>Unser Hemd Rom – ein klassisches fein hellblau-weiß gestreiftes Bürohemd, das natürlich auch perfekt abends angezogen werden kann. Aus einem tollem Oxford Stoff, aus 100% Baumwolle.  Besonders elegant durch eine Umschlagmanschette.</p>
\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>
\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";published;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg;;;;;;;;;;;Tops;;true;;;;art_4260581271619;40;4260581271619;4260581271619;100;false;false;;;;;;;;;75;;Fit;Slim Fit;Size;40;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg; https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-cm-Überlaenge-RIESENHEMD-Rom-2.jpg;"{""size"": 40, ""chest_cm"": 111, ""waist_cm"": 103, ""front_length_cm"": 85, ""back_length_cm"": 95, ""sleeve_length_cm"": 72}";40;111;103;85;95;72
prod_14027;hemd-rom-72-cm-armlange-umschlagmanschette;Hemd Rom - 72 cm Armlänge - Umschlagmanschette;;"<p>Unser Hemd Rom – ein klassisches fein hellblau-weiß gestreiftes Bürohemd, das natürlich auch perfekt abends angezogen werden kann. Aus einem tollem Oxford Stoff, aus 100% Baumwolle.  Besonders elegant durch eine Umschlagmanschette.</p>
\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>
\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";published;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg;;;;;;;;;;;Tops;;true;;;;art_4260581271626;41;4260581271626;4260581271626;100;false;false;;;;;;;;;75;;Fit;Slim Fit;Size;41;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg; https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-cm-Überlaenge-RIESENHEMD-Rom-2.jpg;"{""size"": 41, ""chest_cm"": 115, ""waist_cm"": 107, ""front_length_cm"": 85, ""back_length_cm"": 95, ""sleeve_length_cm"": 72}";41;115;107;85;95;72
prod_14027;hemd-rom-72-cm-armlange-umschlagmanschette;Hemd Rom - 72 cm Armlänge - Umschlagmanschette;;"<p>Unser Hemd Rom – ein klassisches fein hellblau-weiß gestreiftes Bürohemd, das natürlich auch perfekt abends angezogen werden kann. Aus einem tollem Oxford Stoff, aus 100% Baumwolle.  Besonders elegant durch eine Umschlagmanschette.</p>
\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>
\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";published;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg;;;;;;;;;;;Tops;;true;;;;art_4260581271633;42;4260581271633;4260581271633;100;false;false;;;;;;;;;75;;Fit;Slim Fit;Size;42;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Rom-4.jpg; https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-cm-Überlaenge-RIESENHEMD-Rom-2.jpg;"{""size"": 42, ""chest_cm"": 118, ""waist_cm"": 110, ""front_length_cm"": 85, ""back_length_cm"": 95, ""sleeve_length_cm"": 72}";42;118;110;85;95;72
