,id,size_id,parameter_name,parameter_value
0,1,1,Kragenweite,36.0
1,2,1,Oberweite,98.0
2,3,1,Taillenweite,86.0
3,4,1,Rückenbreite,38.0
4,5,1,Hemdenlänge:,
5,6,1,bei Armlänge extra kurz,76.0
6,7,1,bei Armlänge normal,76.0
7,8,1,bei Armlänge extra lang,79.0
8,9,2,Kragenweite,37.5
9,10,2,Oberweite,104.0
10,11,2,Taillenweite,92.0
11,12,2,Rückenbreite,40.0
12,13,2,Hemdenlänge:,
13,14,2,bei Armlänge extra kurz,78.0
14,15,2,bei Armlänge normal,78.0
15,16,2,bei Armlänge extra lang,81.0
16,17,3,Kragenweite,39.5
17,18,3,Oberweite,110.0
18,19,3,Taillenweite,98.0
19,20,3,Rückenbreite,42.0
20,21,3,Hemdenlänge:,
21,22,3,bei Armlänge extra kurz,80.0
22,23,3,bei Armlänge normal,80.0
23,24,3,bei Armlänge extra lang,83.0
24,25,4,Kragenweite,41.5
25,26,4,Oberweite,116.0
26,27,4,Taillenweite,104.0
27,28,4,Rückenbreite,44.0
28,29,4,Hemdenlänge:,
29,30,4,bei Armlänge extra kurz,80.0
30,31,4,bei Armlänge normal,80.0
31,32,4,bei Armlänge extra lang,83.0
32,33,5,Kragenweite,43.5
33,34,5,Oberweite,124.0
34,35,5,Taillenweite,112.0
35,36,5,Rückenbreite,46.0
36,37,5,Hemdenlänge:,
37,38,5,bei Armlänge extra kurz,83.0
38,39,5,bei Armlänge normal,83.0
39,40,5,bei Armlänge extra lang,87.0
40,41,6,Kragenweite,45.5
41,42,6,Oberweite,132.0
42,43,6,Taillenweite,120.0
43,44,6,Rückenbreite,48.0
44,45,6,Hemdenlänge:,
45,46,6,bei Armlänge extra kurz,85.0
46,47,6,bei Armlänge normal,85.0
47,48,6,bei Armlänge extra lang,89.0
48,49,7,Kragenweite,47.5
49,50,7,Oberweite,
50,51,7,Taillenweite,
51,52,7,Rückenbreite,
52,53,7,Hemdenlänge:,
53,54,7,bei Armlänge extra kurz,
54,55,7,bei Armlänge normal,
55,56,7,bei Armlänge extra lang,
56,57,8,Kragenweite,49.5
57,58,8,Oberweite,
58,59,8,Taillenweite,
59,60,8,Rückenbreite,
60,61,8,Hemdenlänge:,
61,62,8,bei Armlänge extra kurz,
62,63,8,bei Armlänge normal,
63,64,8,bei Armlänge extra lang,
64,65,9,Kragenweite,52.0
65,66,9,Oberweite,
66,67,9,Taillenweite,
67,68,9,Rückenbreite,
68,69,9,Hemdenlänge:,
69,70,9,bei Armlänge extra kurz,
70,71,9,bei Armlänge normal,
71,72,9,bei Armlänge extra lang,
72,73,10,Kragenweite,54.0
73,74,10,Oberweite,
74,75,10,Taillenweite,
75,76,10,Rückenbreite,
76,77,10,Hemdenlänge:,
77,78,10,bei Armlänge extra kurz,
78,79,10,bei Armlänge normal,
79,80,10,bei Armlänge extra lang,
80,81,11,Kragenweite,36.0
81,82,11,Oberweite,
82,83,11,Taillenweite,
83,84,11,Rückenbreite,
84,85,11,Hemdenlänge:,
85,86,11,bei Armlänge normal,
86,87,11,bei Armlänge extra lang,
87,88,12,Kragenweite,37.5
88,89,12,Oberweite,114.0
89,90,12,Taillenweite,102.0
90,91,12,Rückenbreite,47.0
91,92,12,Hemdenlänge:,
92,93,12,bei Armlänge normal,82.0
93,94,12,bei Armlänge extra lang,85.0
94,95,13,Kragenweite,39.5
95,96,13,Oberweite,120.0
96,97,13,Taillenweite,106.0
97,98,13,Rückenbreite,485.0
98,99,13,Hemdenlänge:,
99,100,13,bei Armlänge normal,82.0
100,101,13,bei Armlänge extra lang,85.0
101,102,14,Kragenweite,41.5
102,103,14,Oberweite,126.0
103,104,14,Taillenweite,112.0
104,105,14,Rückenbreite,50.0
105,106,14,Hemdenlänge:,
106,107,14,bei Armlänge normal,82.0
107,108,14,bei Armlänge extra lang,85.0
108,109,15,Kragenweite,43.5
109,110,15,Oberweite,132.0
110,111,15,Taillenweite,122.0
111,112,15,Rückenbreite,515.0
112,113,15,Hemdenlänge:,
113,114,15,bei Armlänge normal,85.0
114,115,15,bei Armlänge extra lang,90.0
115,116,16,Kragenweite,45.5
116,117,16,Oberweite,138.0
117,118,16,Taillenweite,130.0
118,119,16,Rückenbreite,53.0
119,120,16,Hemdenlänge:,
120,121,16,bei Armlänge normal,85.0
121,122,16,bei Armlänge extra lang,90.0
122,123,17,Kragenweite,47.5
123,124,17,Oberweite,
124,125,17,Taillenweite,
125,126,17,Rückenbreite,
126,127,17,Hemdenlänge:,
127,128,17,bei Armlänge normal,
128,129,17,bei Armlänge extra lang,
129,130,18,Kragenweite,49.5
130,131,18,Oberweite,
131,132,18,Taillenweite,
132,133,18,Rückenbreite,
133,134,18,Hemdenlänge:,
134,135,18,bei Armlänge normal,
135,136,18,bei Armlänge extra lang,
136,137,19,Kragenweite,52.0
137,138,19,Oberweite,
138,139,19,Taillenweite,
139,140,19,Rückenbreite,
140,141,19,Hemdenlänge:,
141,142,19,bei Armlänge normal,
142,143,19,bei Armlänge extra lang,
143,144,20,Kragenweite,54.0
144,145,20,Oberweite,
145,146,20,Taillenweite,
146,147,20,Rückenbreite,
147,148,20,Hemdenlänge:,
148,149,20,bei Armlänge normal,
149,150,20,bei Armlänge extra lang,
150,151,21,Kragenweite,36.0
151,152,21,Oberweite,108.0
152,153,21,Taillenweite,98.0
153,154,21,Hüftweite,
154,155,21,Rückenbreite,455.0
155,156,21,Hemdenlänge:,
156,157,21,bei Armlänge extra kurz,82.0
157,158,21,bei Armlänge normal,82.0
158,159,21,bei Armlänge extra lang,85.0
159,160,22,Kragenweite,37.5
160,161,22,Oberweite,114.0
161,162,22,Taillenweite,102.0
162,163,22,Hüftweite,106.0
163,164,22,Rückenbreite,47.0
164,165,22,Hemdenlänge:,
165,166,22,bei Armlänge extra kurz,82.0
166,167,22,bei Armlänge normal,82.0
167,168,22,bei Armlänge extra lang,85.0
168,169,23,Kragenweite,39.5
169,170,23,Oberweite,120.0
170,171,23,Taillenweite,106.0
171,172,23,Hüftweite,112.0
172,173,23,Rückenbreite,485.0
173,174,23,Hemdenlänge:,
174,175,23,bei Armlänge extra kurz,82.0
175,176,23,bei Armlänge normal,82.0
176,177,23,bei Armlänge extra lang,85.0
177,178,24,Kragenweite,41.5
178,179,24,Oberweite,126.0
179,180,24,Taillenweite,112.0
180,181,24,Hüftweite,118.0
181,182,24,Rückenbreite,50.0
182,183,24,Hemdenlänge:,
183,184,24,bei Armlänge extra kurz,82.0
184,185,24,bei Armlänge normal,82.0
185,186,24,bei Armlänge extra lang,85.0
186,187,25,Kragenweite,43.5
187,188,25,Oberweite,132.0
188,189,25,Taillenweite,122.0
189,190,25,Hüftweite,124.0
190,191,25,Rückenbreite,515.0
191,192,25,Hemdenlänge:,
192,193,25,bei Armlänge extra kurz,82.0
193,194,25,bei Armlänge normal,85.0
194,195,25,bei Armlänge extra lang,90.0
195,196,26,Kragenweite,45.5
196,197,26,Oberweite,138.0
197,198,26,Taillenweite,130.0
198,199,26,Hüftweite,130.0
199,200,26,Rückenbreite,53.0
200,201,26,Hemdenlänge:,
201,202,26,bei Armlänge extra kurz,84.0
202,203,26,bei Armlänge normal,85.0
203,204,26,bei Armlänge extra lang,90.0
204,205,27,Kragenweite,47.5
205,206,27,Oberweite,144.0
206,207,27,Taillenweite,138.0
207,208,27,Hüftweite,136.0
208,209,27,Rückenbreite,545.0
209,210,27,Hemdenlänge:,
210,211,27,bei Armlänge extra kurz,84.0
211,212,27,bei Armlänge normal,90.0
212,213,27,bei Armlänge extra lang,90.0
213,214,28,Kragenweite,49.5
214,215,28,Oberweite,152.0
215,216,28,Taillenweite,144.0
216,217,28,Hüftweite,
217,218,28,Rückenbreite,565.0
218,219,28,Hemdenlänge:,
219,220,28,bei Armlänge extra kurz,86.0
220,221,28,bei Armlänge normal,95.0
221,222,28,bei Armlänge extra lang,95.0
222,223,29,Kragenweite,52.0
223,224,29,Oberweite,
224,225,29,Taillenweite,
225,226,29,Hüftweite,
226,227,29,Rückenbreite,
227,228,29,Hemdenlänge:,
228,229,29,bei Armlänge extra kurz,
229,230,29,bei Armlänge normal,
230,231,29,bei Armlänge extra lang,
231,232,30,Kragenweite,54.0
232,233,30,Oberweite,
233,234,30,Taillenweite,
234,235,30,Hüftweite,
235,236,30,Rückenbreite,
236,237,30,Hemdenlänge:,
237,238,30,bei Armlänge extra kurz,
238,239,30,bei Armlänge normal,
239,240,30,bei Armlänge extra lang,
240,241,31,Kragenweite,36.0
241,242,31,Oberweite,108.0
242,243,31,Taillenweite,98.0
243,244,31,Hüftweite,
244,245,31,Rückenbreite,455.0
245,246,31,Hemdenlänge:,
246,247,31,bei Armlänge extra kurz,82.0
247,248,31,bei Armlänge normal,82.0
248,249,31,bei Armlänge extra lang,85.0
249,250,32,Kragenweite,37.5
250,251,32,Oberweite,114.0
251,252,32,Taillenweite,102.0
252,253,32,Hüftweite,106.0
253,254,32,Rückenbreite,47.0
254,255,32,Hemdenlänge:,
255,256,32,bei Armlänge extra kurz,82.0
256,257,32,bei Armlänge normal,82.0
257,258,32,bei Armlänge extra lang,85.0
258,259,33,Kragenweite,39.5
259,260,33,Oberweite,120.0
260,261,33,Taillenweite,106.0
261,262,33,Hüftweite,112.0
262,263,33,Rückenbreite,485.0
263,264,33,Hemdenlänge:,
264,265,33,bei Armlänge extra kurz,82.0
265,266,33,bei Armlänge normal,82.0
266,267,33,bei Armlänge extra lang,85.0
267,268,34,Kragenweite,41.5
268,269,34,Oberweite,126.0
269,270,34,Taillenweite,112.0
270,271,34,Hüftweite,118.0
271,272,34,Rückenbreite,50.0
272,273,34,Hemdenlänge:,
273,274,34,bei Armlänge extra kurz,82.0
274,275,34,bei Armlänge normal,82.0
275,276,34,bei Armlänge extra lang,85.0
276,277,35,Kragenweite,43.5
277,278,35,Oberweite,132.0
278,279,35,Taillenweite,122.0
279,280,35,Hüftweite,124.0
280,281,35,Rückenbreite,515.0
281,282,35,Hemdenlänge:,
282,283,35,bei Armlänge extra kurz,82.0
283,284,35,bei Armlänge normal,85.0
284,285,35,bei Armlänge extra lang,90.0
285,286,36,Kragenweite,45.5
286,287,36,Oberweite,138.0
287,288,36,Taillenweite,130.0
288,289,36,Hüftweite,130.0
289,290,36,Rückenbreite,53.0
290,291,36,Hemdenlänge:,
291,292,36,bei Armlänge extra kurz,84.0
292,293,36,bei Armlänge normal,85.0
293,294,36,bei Armlänge extra lang,90.0
294,295,37,Kragenweite,47.5
295,296,37,Oberweite,144.0
296,297,37,Taillenweite,138.0
297,298,37,Hüftweite,136.0
298,299,37,Rückenbreite,545.0
299,300,37,Hemdenlänge:,
300,301,37,bei Armlänge extra kurz,84.0
301,302,37,bei Armlänge normal,90.0
302,303,37,bei Armlänge extra lang,90.0
303,304,38,Kragenweite,49.5
304,305,38,Oberweite,152.0
305,306,38,Taillenweite,144.0
306,307,38,Hüftweite,
307,308,38,Rückenbreite,565.0
308,309,38,Hemdenlänge:,
309,310,38,bei Armlänge extra kurz,86.0
310,311,38,bei Armlänge normal,95.0
311,312,38,bei Armlänge extra lang,95.0
312,313,39,Kragenweite,52.0
313,314,39,Oberweite,
314,315,39,Taillenweite,
315,316,39,Hüftweite,
316,317,39,Rückenbreite,
317,318,39,Hemdenlänge:,
318,319,39,bei Armlänge extra kurz,
319,320,39,bei Armlänge normal,
320,321,39,bei Armlänge extra lang,
321,322,40,Kragenweite,54.0
322,323,40,Oberweite,
323,324,40,Taillenweite,
324,325,40,Hüftweite,
325,326,40,Rückenbreite,
326,327,40,Hemdenlänge:,
327,328,40,bei Armlänge extra kurz,
328,329,40,bei Armlänge normal,
329,330,40,bei Armlänge extra lang,
330,331,41,Kragenweite,36.0
331,332,41,Oberweite,
332,333,41,Taillenweite,
333,334,41,Rückenbreite,
334,335,41,Hemdenlänge:,
335,336,41,bei Armlänge normal,
336,337,41,bei Armlänge extra lang,
337,338,42,Kragenweite,37.5
338,339,42,Oberweite,114.0
339,340,42,Taillenweite,108.0
340,341,42,Rückenbreite,48.0
341,342,42,Hemdenlänge:,
342,343,42,bei Armlänge normal,82.0
343,344,42,bei Armlänge extra lang,85.0
344,345,43,Kragenweite,39.5
345,346,43,Oberweite,122.0
346,347,43,Taillenweite,116.0
347,348,43,Rückenbreite,51.0
348,349,43,Hemdenlänge:,
349,350,43,bei Armlänge normal,82.0
350,351,43,bei Armlänge extra lang,85.0
351,352,44,Kragenweite,41.5
352,353,44,Oberweite,128.0
353,354,44,Taillenweite,124.0
354,355,44,Rückenbreite,525.0
355,356,44,Hemdenlänge:,
356,357,44,bei Armlänge normal,82.0
357,358,44,bei Armlänge extra lang,85.0
358,359,45,Kragenweite,43.5
359,360,45,Oberweite,136.0
360,361,45,Taillenweite,136.0
361,362,45,Rückenbreite,54.0
362,363,45,Hemdenlänge:,
363,364,45,bei Armlänge normal,85.0
364,365,45,bei Armlänge extra lang,90.0
365,366,46,Kragenweite,45.5
366,367,46,Oberweite,148.0
367,368,46,Taillenweite,148.0
368,369,46,Rückenbreite,56.0
369,370,46,Hemdenlänge:,
370,371,46,bei Armlänge normal,85.0
371,372,46,bei Armlänge extra lang,90.0
372,373,47,Kragenweite,47.5
373,374,47,Oberweite,154.0
374,375,47,Taillenweite,154.0
375,376,47,Rückenbreite,58.0
376,377,47,Hemdenlänge:,
377,378,47,bei Armlänge normal,90.0
378,379,47,bei Armlänge extra lang,90.0
379,380,48,Kragenweite,49.5
380,381,48,Oberweite,160.0
381,382,48,Taillenweite,160.0
382,383,48,Rückenbreite,60.0
383,384,48,Hemdenlänge:,
384,385,48,bei Armlänge normal,95.0
385,386,48,bei Armlänge extra lang,95.0
386,387,49,Kragenweite,52.0
387,388,49,Oberweite,
388,389,49,Taillenweite,
389,390,49,Rückenbreite,
390,391,49,Hemdenlänge:,
391,392,49,bei Armlänge normal,
392,393,49,bei Armlänge extra lang,
393,394,50,Kragenweite,54.0
394,395,50,Oberweite,
395,396,50,Taillenweite,
396,397,50,Rückenbreite,
397,398,50,Hemdenlänge:,
398,399,50,bei Armlänge normal,
399,400,50,bei Armlänge extra lang,
400,401,51,Kragenweite,36.0
401,402,51,Oberweite,98.0
402,403,51,Taillenweite,86.0
403,404,51,Rückenbreite,38.0
404,405,51,Hemdenlänge:,
405,406,51,bei Armlänge extra kurz,76.0
406,407,51,bei Armlänge normal,76.0
407,408,51,bei Armlänge extra lang,79.0
408,409,52,Kragenweite,37.5
409,410,52,Oberweite,104.0
410,411,52,Taillenweite,92.0
411,412,52,Rückenbreite,40.0
412,413,52,Hemdenlänge:,
413,414,52,bei Armlänge extra kurz,78.0
414,415,52,bei Armlänge normal,78.0
