,id,url,image_url,price,name,properties
0,1,https://www.hemden.de/olymp-level-five-body-fit-hemd-weiss-einfarbig-langarm-6090.64.00,https://cdn.hemden.de/media/image/8f/68/4e/6090-64-00_800rfOsk7hhIb6hK.jpg,59.95,"OLYMP Level Five Body Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Stretch', 'Schnitt': 'Taillierter Schnitt', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Officemanschette', 'Besonderheiten': 'Italienische Knopfleiste'}"
1,2,https://www.hemden.de/marvelis-modern-fit-hemd-weiss-einfarbig-langarm-4700.64.00,https://cdn.hemden.de/media/image/10/ec/00/4700-64-00_800GkFkW51nKytdP.jpg,39.95,"Marvelis Modern Fit Hemd weiss, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Leicht tailliert', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '60 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
2,3,https://www.hemden.de/olymp-luxor-modern-fit-hemd-weiss-einfarbig-langarm-6350.64.00,https://cdn.hemden.de/media/image/10/89/79/6350-64-00_800fraMnITRPCpWi.jpg,59.95,"OLYMP Luxor Modern Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Uni-Popeline', 'Schnitt': 'Leicht tailliert', 'Armlänge': 'Langarm (Normallänge)', 'Armlänge cm': '64cm', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '60 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
3,4,https://www.hemden.de/olymp-luxor-modern-fit-hemd-bleu-einfarbig-langarm-0304.64.11,https://cdn.hemden.de/media/image/5c/a3/96/0304-64-11_800gxCXrdkhcKZNO.jpg,59.95,"OLYMP Luxor Modern Fit Hemd bleu, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'bleu', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette', 'Besonderheiten': 'Italienische Knopfleiste'}"
4,5,https://www.hemden.de/marvelis-comfort-fit-hemd-bleu-einfarbig-langarm-7959.64.11,https://cdn.hemden.de/media/image/60/41/da/7959-64-11_800EIskrDMFoahjT.jpg,39.95,"Marvelis Comfort Fit Hemd bleu, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Gerader Schnitt', 'Stoff': 'Chambray', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'bleu', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
5,6,https://www.hemden.de/olymp-level-five-body-fit-hemd-schwarz-einfarbig-langarm-6090.64.68,https://cdn.hemden.de/media/image/5b/27/a1/6090-64-68_800hk0gZDyEtaUB8.jpg,59.95,"OLYMP Level Five Body Fit Hemd schwarz, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Stretch', 'Schnitt': 'Taillierter Schnitt', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'schwarz', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Sportmanschette', 'Besonderheiten': 'Italienische Knopfleiste'}"
6,7,https://www.hemden.de/olymp-luxor-modern-fit-hemd-schwarz-einfarbig-langarm-0300.64.68,https://cdn.hemden.de/media/image/15/7c/d6/0300-64-68_8005DxRJHwqJdp2I.jpg,59.95,"OLYMP Luxor Modern Fit Hemd schwarz, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Uni-Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'schwarz', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
7,8,https://www.hemden.de/marvelis-body-fit-hemd-bleu-einfarbig-langarm-6799.64.10,https://cdn.hemden.de/media/image/0f/f1/6f/6799-64-10_800zNutP5FqdXU2X.jpg,49.95,"Marvelis Body Fit Hemd bleu, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Taillierter Schnitt', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New York Kent', 'Pflege': 'Besonders bügelleicht', 'Waschbar bis': '30 Grad', 'Farbe': 'bleu', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Sportmanschette'}"
8,9,https://www.hemden.de/olymp-luxor-modern-fit-hemd-weiss-einfarbig-langarm-1810.65.00,https://cdn.hemden.de/media/image/4f/91/d6/1810-65-00_800ROI81IcYzOSiH.jpg,69.95,"OLYMP Luxor Modern Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Uni-Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '65cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '60 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Umschlagmanschette', 'Besonderheiten': 'Italienische Knopfleiste'}"
9,10,https://www.hemden.de/herrenhemd/olymp/slim-line/saphierblau/new-kent/langarm-64cm/einfarbig/03046496,https://cdn.hemden.de/media/image/18/18/5b/0304-64-96_800QHxAeHAhRk1aR.jpg,59.95,"OLYMP Luxor Modern Fit Hemd indigo, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'indigo', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
